book_id,title,author,isbn,isbn13,asin,num_pages,avg_rating,num_ratings,year_pub_ed,text_review_count,genre,publisher,language,title_URL
1,Nearly All the Men in Lagos Are Mad ,"Kuku, Damilare",,9.79E+12,,254,4.01,2919,2021,457,Short Stories,Masobe Books,English,https://www.goodreads.com/book/show/58120777-nearly-all-the-men-in-lagos-are-mad
2,Open Water ,"Nelson, Caleb Azumah",241448778,9.78E+12,241448778,145,4.09,46508,2021,7502,Fiction,VIKIN,English,https://www.goodreads.com/book/show/53414230-open-water
3,"Love in Colour: Mythical Tales from Around the World, Retold ","Babalola, Bolu",1472268865,9.78E+12,1472268865,304,3.99,13298,2020,2296,Romance,Headline,English,https://www.goodreads.com/book/show/51102251-love-in-colour
4,"The Darkest Legacy
 (The Darkest Minds, #4)","Bracken, Alexandra",136802324X,9.78E+12,136802324X,569,4.13,10404,2018,1133,Dystopia,Disney Hyperion,English,https://www.goodreads.com/book/show/37688046-the-darkest-legacy
5,"In the Afterlight
 (The Darkest Minds, #3)","Bracken, Alexandra",1423157524,9.78E+12,1423157524,535,4.25,60795,2014,5853,Dystopia,Disney-Hyperion,English,https://www.goodreads.com/book/show/16150831-in-the-afterlight
6,"Never Fade
 (The Darkest Minds, #2)","Bracken, Alexandra",1423157516,9.78E+12,1423157516,507,4.21,93629,2013,7538,Dystopia,Disney-Hyperion,English,https://www.goodreads.com/book/show/16150830-never-fade
7,"The Darkest Minds
 (The Darkest Minds, #1)","Bracken, Alexandra",1423157370,9.78E+12,1423157370,488,4.16,183855,2012,18532,Young Adult,Disney Hyperion,English,https://www.goodreads.com/book/show/10576365-the-darkest-minds
8,1984 ,"Orwell, George",452284236,9.78E+12,B00A2MTYAI,368,4.19,4273685,2022,104508,Classics,Plume,English,https://www.goodreads.com/book/show/61439040-1984
9,"Saint
 (Priest, #3)","Simone, Sierra",,,B0957W54WJ,415,4.07,10967,2021,1770,Romance,"Sourcebooks, Inc",English,https://www.goodreads.com/book/show/58131787-saint
10,"Sinner (Priest, #2)","Simone, Sierra",,,B0799G4SDF,400,4.01,31668,2018,4112,Romance,"Sourcebooks, Inc",English,https://www.goodreads.com/book/show/38233153-sinner
11,"Priest
 (Priest, #1)","Simone, Sierra",,,B00WHGBTHI,354,3.68,95904,2015,13182,Romance,"Sourcebooks, Inc",English,https://www.goodreads.com/book/show/25507389-priest
12,"The Finish Line (The Ravenhood, #3)","Stewart, Kate",,9.80E+12,B08TZHBV4W,450,4.3,59222,2021,5526,Romance,Independently published,English,https://www.goodreads.com/book/show/56182388-the-finish-line
13,"Exodus
 (The Ravenhood, #2)","Stewart, Kate",,9.80E+12,B08F6X4JC9,450,4.42,81898,2020,9372,Romance,Independently published,English,https://www.goodreads.com/book/show/53312623-exodus
14,"Flock
 (The Ravenhood, #1)","Stewart, Kate",,9.80E+12,B08DSWRN3D,354,4.15,102523,2020,10630,Romance,Independently published,English,https://www.goodreads.com/book/show/40748777-flock
15,Den of Vipers ,"Knight, K.A",,,B08818YQB5,654,3.59,102724,2020,14076,Romance,Independently published,English,https://www.goodreads.com/book/show/53544752-den-of-vipers
16,Credence ,"Douglas, Penelope",1660089050,9.78E+12,1660089050,470,3.7,183200,2020,21858,Romance,Independently published,English,https://www.goodreads.com/book/show/49084724-credence
17,"The Mindf*ck Series (Mindf*ck, #1-5)","Abby, S.T.",1091074690,9.78E+12,1091074690,692,4.64,25093,2019,3221,Romance,Independently published,English,https://www.goodreads.com/book/show/44799982-the-mindf-ck-series
18,"Rule of Wolves
 (King of Scars, #2)","Bardugo, Leigh",125014230X,9.78E+12,125014230X,592,4.37,128565,2021,17724,Fantasy,Hachette Children's Group,English,https://www.goodreads.com/book/show/54589790-rule-of-wolves
19,The Final Girl Support Group ,"Hendrix, Grady",059320123X,9.78E+12,059320123X,342,3.54,108007,2021,16030,Horror,Berkley,English,https://www.goodreads.com/book/show/55829194-the-final-girl-support-group
20,Five Feet Apart ,"Lippincott, Rachael",1534437339,9.78E+12,1534437339,304,4.19,203647,2018,18630,Romance,Simon & Schuster Books for Young Readers,English,https://www.goodreads.com/book/show/38926328-five-feet-apart
21,Without Merit ,"Hoover, Colleen",1501179764,9.78E+12,1501179764,384,3.75,204715,2017,17900,Romance,Atria Books,English,https://www.goodreads.com/book/show/34684620-without-merit
22,"Fantastic Beasts and Where to Find Them: The Original Screenplay
 (Fantastic Beasts: The Original Screenplay, #1)","Rowling, J.K.",1338109065,9.78E+12,1338109065,293,4.18,154344,2016,8429,Fantasy,Arthur A. Levine Books,English,https://www.goodreads.com/book/show/29363501-fantastic-beasts-and-where-to-find-them
23,Hidden Pictures ,"Rekulak, Jason",1250819342,9.78E+12,1250819342,372,4.15,132327,2022,16087,Horror,Flatiron Books,English,https://www.goodreads.com/book/show/58724923-hidden-pictures
24,The Undertaking of Hart and Mercy ,"Bannen, Megan",316394211,9.78E+12,316394211,448,4.15,15234,2022,3496,Fantasy,Orbit,English,https://www.goodreads.com/book/show/59801786-the-undertaking-of-hart-and-mercy
25,Stone Blind ,"Haynes, Natalie",63258390,9.78E+12,63258390,373,3.9,21600,2023,3558,Mythology,Harper,English,https://www.goodreads.com/book/show/61102615-stone-blind
26,Thistlefoot ,"Nethercott, GennaRose",059346883X,9.78E+12,059346883X,448,3.98,12564,2022,2479,Fantasy,Anchor,English,https://www.goodreads.com/book/show/60018639-thistlefoot
27,"The Empire of Gold
 (The Daevabad Trilogy, #3)","Chakraborty, S.A.",62678167,9.78E+12,62678167,766,4.5,44158,2020,6282,Fantasy,Harper Voyager,English,https://www.goodreads.com/book/show/52166786-the-empire-of-gold
28,"The Bone Shard Daughter
 (The Drowning Empire, #1)","Stewart, Andrea",316541427,9.78E+12,316541427,435,4.04,23546,2020,4458,Fantasy,Orbit,English,https://www.goodreads.com/book/show/50706646-the-bone-shard-daughter
29,When Women Were Dragons ,"Barnhill, Kelly",385548222,9.78E+12,385548222,352,3.92,24839,2022,4231,Fantasy,Doubleday,English,https://www.goodreads.com/book/show/58783802-when-women-were-dragons
30,"For the Wolf
 (Wilderwood, #1)","Whitten, Hannah",316592781,9.78E+12,316592781,437,3.64,37874,2021,6502,Fantasy,Orbit Books,English,https://www.goodreads.com/book/show/53418394-for-the-wolf
31,The Once and Future Witches ,"Harrow, Alix E.",316422045,9.78E+12,316422045,517,4.06,70712,2020,10532,Fantasy,Redhook,English,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches
32,Babel: An Arcane History ,"Kuang, R.F.",63021420,9.78E+12,63021420,544,4.25,115021,2022,24266,Fantasy,Harper Voyager,English,https://www.goodreads.com/book/show/57945316-babel
